step,sensor,pos_x,pos_y,pos_z,ori_l,ori_i,ori_j,ori_k,vel_a,vel_b,vel_c
34,IMU,0.000253,0.083738,-4.945057,0.994067,0.108770,-0.000441,-0.000135,0.002682,0.595819,0.536444
35,DEPTH,0.000185,0.066441,-4.925841,0.987352,0.205501,-0.000867,-0.000162,0.002182,0.471919,0.696473
36,IMU,0.000205,0.071216,-4.918725,0.979017,0.203779,-0.000880,-0.000189,0.001844,0.483132,0.726652
37,IMU,0.000227,0.076108,-4.911309,0.979017,0.203778,-0.000929,-0.000200,0.002534,0.495255,0.756558
38,IMU,0.000253,0.081120,-4.903596,0.979014,0.203789,-0.000929,-0.000195,0.002683,0.507240,0.786041
39,DEPTH,0.000272,0.084842,-4.907033,0.979624,0.186844,-0.000836,-0.000191,0.002813,0.532090,0.759812
40,IMU,0.000302,0.090224,-4.899286,0.982300,0.187313,-0.000874,-0.000228,0.003204,0.544267,0.789667
41,IMU,0.000336,0.095727,-4.891249,0.982295,0.187337,-0.000956,-0.000151,0.003636,0.556482,0.817679
42,IMU,0.000369,0.101352,-4.882932,0.982295,0.187340,-0.000984,-0.000124,0.002810,0.568399,0.845828
43,DEPTH,0.000432,0.109634,-4.889404,0.981763,0.156155,-0.000749,-0.000121,0.003198,0.619681,0.799966
44,IMU,0.000467,0.115902,-4.881270,0.987573,0.157157,-0.000757,-0.000062,0.003808,0.633813,0.826795
45,IMU,0.000508,0.122305,-4.872867,0.987565,0.157210,-0.000835,-0.000135,0.004460,0.646874,0.853897
46,IMU,0.000549,0.128837,-4.864196,0.987562,0.157229,-0.000820,-0.000237,0.003738,0.659547,0.880239
47,DEPTH,0.000392,0.112399,-4.853176,0.991791,0.209167,-0.001291,-0.000235,0.002856,0.565513,0.953924
48,IMU,0.000420,0.118109,-4.843500,0.978470,0.206383,-0.001291,-0.000276,0.002792,0.576518,0.981416
49,IMU,0.000446,0.123927,-4.833549,0.978473,0.206373,-0.001269,-0.000233,0.002424,0.587173,1.008687
50,IMU,0.000474,0.129850,-4.823326,0.978470,0.206388,-0.001130,-0.000146,0.003228,0.597377,1.035919
51,DEPTH,0.000386,0.120589,-4.817931,0.982356,0.231256,-0.001356,-0.000142,0.002769,0.547939,1.070072
52,IMU,0.000411,0.126115,-4.807089,0.973391,0.229145,-0.001273,-0.000120,0.002206,0.557362,1.098180
53,IMU,0.000430,0.131734,-4.795968,0.973407,0.229077,-0.001238,-0.000145,0.001506,0.566352,1.126177
54,IMU,0.000445,0.137442,-4.784575,0.973414,0.229049,-0.001207,-0.000112,0.001486,0.575350,1.152373
55,DEPTH,0.000586,0.155890,-4.794038,0.962953,0.186513,-0.000879,-0.000110,0.002184,0.667798,1.095391
56,IMU,0.000606,0.162621,-4.782962,0.981753,0.190157,-0.000875,-0.000154,0.001831,0.678471,1.119699
57,IMU,0.000622,0.169458,-4.771636,0.981759,0.190129,-0.000823,-0.000202,0.001426,0.688871,1.145465
58,IMU,0.000638,0.176398,-4.760057,0.981760,0.190121,-0.000769,-0.000178,0.001635,0.699248,1.170516
59,DEPTH,0.000582,0.153813,-4.749724,0.997335,0.235268,-0.000925,-0.000218,0.001342,0.593453,1.230301
60,IMU,0.000601,0.159790,-4.737291,0.973272,0.229654,-0.000899,-0.000317,0.002392,0.601890,1.256347
61,IMU,0.000625,0.165855,-4.724605,0.973269,0.229665,-0.000845,-0.000380,0.002305,0.611173,1.280953
62,IMU,0.000648,0.172008,-4.711672,0.973260,0.229705,-0.000887,-0.000386,0.002464,0.619505,1.305637
63,DEPTH,0.000660,0.184289,-4.716742,0.963558,0.208246,-0.000844,-0.000360,0.002541,0.673681,1.277333
64,IMU,0.000685,0.191073,-4.703845,0.977442,0.211200,-0.000828,-0.000290,0.002341,0.683159,1.302173
65,IMU,0.000710,0.197950,-4.690701,0.977454,0.211145,-0.000710,-0.000258,0.002685,0.692181,1.326620
66,IMU,0.000741,0.204918,-4.677309,0.977460,0.211120,-0.000757,-0.000274,0.003642,0.701462,1.351710
67,DEPTH,0.000736,0.200294,-4.675565,0.981505,0.218233,-0.000771,-0.000282,0.003612,0.682206,1.361146
68,IMU,0.000768,0.207161,-4.661833,0.976175,0.216982,-0.000826,-0.000311,0.002798,0.691075,1.385362
69,IMU,0.000796,0.214113,-4.647859,0.976155,0.217072,-0.000769,-0.000311,0.002770,0.699376,1.409324
70,IMU,0.000823,0.221148,-4.633650,0.976156,0.217070,-0.000787,-0.000352,0.002685,0.707691,1.432430
71,DEPTH,0.000823,0.220986,-4.633594,0.976309,0.217292,-0.000788,-0.000352,0.002684,0.707052,1.432727
72,IMU,0.000849,0.228099,-4.619154,0.976124,0.217211,-0.000861,-0.000279,0.002511,0.715522,1.455245
73,IMU,0.000871,0.235297,-4.604486,0.976128,0.217192,-0.000831,-0.000249,0.001896,0.724133,1.478303
74,IMU,0.000891,0.242575,-4.589589,0.976130,0.217183,-0.000868,-0.000204,0.002044,0.731517,1.501230
75,DEPTH,0.000841,0.276596,-4.600661,0.942152,0.175870,-0.000873,-0.000143,0.001948,0.858513,1.444719
76,IMU,0.000865,0.285233,-4.586106,0.983025,0.183472,-0.000891,-0.000148,0.002785,0.868801,1.466253
77,IMU,0.000888,0.293965,-4.571335,0.983023,0.183480,-0.000900,-0.000148,0.001929,0.877542,1.488079
78,IMU,0.000903,0.302789,-4.556344,0.983021,0.183493,-0.000867,-0.000057,0.001067,0.887344,1.509990
79,DEPTH,0.001073,0.269609,-4.546163,1.017461,0.219586,-0.000748,-0.000130,0.001536,0.770054,1.560649
80,IMU,0.001089,0.277346,-4.530447,0.977509,0.210892,-0.000750,-0.000201,0.001619,0.777267,1.582434
81,IMU,0.001103,0.285161,-4.514515,0.977508,0.210898,-0.000624,-0.000178,0.001201,0.785743,1.603896
82,IMU,0.001117,0.293056,-4.498369,0.977498,0.210945,-0.000577,-0.000248,0.001579,0.793300,1.625437
83,DEPTH,0.000438,0.340118,-4.512098,0.927405,0.164867,-0.001120,-0.000080,-0.000358,0.951618,1.558915
84,IMU,0.000436,0.349685,-4.496406,0.984556,0.175069,-0.001166,-0.000084,-0.000059,0.961845,1.579532
85,IMU,0.000438,0.359349,-4.480508,0.984555,0.175070,-0.001173,-0.000038,0.000460,0.971012,1.600164
86,IMU,0.000441,0.369109,-4.464406,0.984557,0.175061,-0.001207,0.000029,0.000231,0.980962,1.620070
87,DEPTH,0.000351,0.373767,-4.465708,0.979527,0.170938,-0.001274,0.000048,-0.000015,0.995846,1.613918
88,IMU,0.000350,0.383773,-4.449463,0.985115,0.171894,-0.001316,0.000116,-0.000268,1.005433,1.635042
89,IMU,0.000345,0.393871,-4.433015,0.985113,0.171906,-0.001231,0.000080,-0.000775,1.014241,1.654552
90,IMU,0.000337,0.404060,-4.416371,0.985091,0.172027,-0.001258,0.000048,-0.000710,1.023497,1.674239
91,DEPTH,-0.000711,0.444673,-4.427299,0.941169,0.139369,-0.001986,0.000234,-0.003457,1.147103,1.623899
92,IMU,-0.000744,0.456195,-4.410967,0.989209,0.146493,-0.002174,0.000312,-0.003275,1.157195,1.642567
93,IMU,-0.000772,0.467816,-4.394450,0.989219,0.146425,-0.002209,0.000304,-0.002326,1.167101,1.660752
94,IMU,-0.000797,0.479534,-4.377748,0.989214,0.146459,-0.002122,0.000347,-0.002670,1.176499,1.679587
95,DEPTH,-0.001508,0.503564,-4.384000,0.963526,0.128833,-0.002575,0.000463,-0.004445,1.246031,1.651587
96,IMU,-0.001550,0.516078,-4.367396,0.991175,0.132537,-0.002584,0.000444,-0.003861,1.256803,1.669351
97,IMU,-0.001592,0.528698,-4.350611,0.991160,0.132645,-0.002601,0.000453,-0.004656,1.267166,1.687510
98,IMU,-0.001641,0.541420,-4.333646,0.991167,0.132594,-0.002589,0.000419,-0.004999,1.277106,1.705630
99,DEPTH,-0.000382,0.501466,-4.323574,1.032737,0.159453,-0.001853,0.000213,-0.002008,1.167096,1.749541
100,IMU,-0.000398,0.513179,-4.305994,0.988285,0.152612,-0.001790,0.000150,-0.001154,1.175479,1.766376
101,IMU,-0.000410,0.524984,-4.288243,0.988296,0.152536,-0.001824,0.000142,-0.001273,1.185598,1.783748
102,IMU,-0.000420,0.536885,-4.270317,0.988292,0.152565,-0.001806,0.000177,-0.000792,1.194677,1.801450
103,DEPTH,0.000545,0.506721,-4.262937,1.018490,0.171229,-0.001292,0.000015,0.001397,1.115481,1.832754
104,IMU,0.000558,0.517913,-4.244522,0.986165,0.165760,-0.001204,-0.000011,0.001316,1.122866,1.850299
105,IMU,0.000573,0.529185,-4.225934,0.986166,0.165758,-0.001195,-0.000068,0.001653,1.131566,1.867222
106,IMU,0.000589,0.540541,-4.207179,0.986168,0.165744,-0.001112,-0.000021,0.001479,1.139682,1.883784
107,DEPTH,-0.001096,0.600597,-4.221479,0.928550,0.131412,-0.001924,0.000286,-0.002157,1.290380,1.824965
108,IMU,-0.001117,0.613551,-4.203147,0.990124,0.140179,-0.002087,0.000367,-0.002052,1.300296,1.841528
109,IMU,-0.001139,0.626597,-4.184649,0.990120,0.140205,-0.002115,0.000361,-0.002401,1.309032,1.858037
110,IMU,-0.001166,0.639732,-4.165992,0.990118,0.140224,-0.002080,0.000342,-0.003017,1.317977,1.873386
111,DEPTH,-0.000226,0.604317,-4.157770,1.022519,0.159005,-0.001673,0.000162,-0.001082,1.233102,1.906179
112,IMU,-0.000235,0.616688,-4.138626,0.988116,0.153700,-0.001573,0.000083,-0.000655,1.241084,1.922574
113,IMU,-0.000243,0.629138,-4.119321,0.988107,0.153758,-0.001543,0.000069,-0.001023,1.248992,1.938549
114,IMU,-0.000257,0.641672,-4.099856,0.988105,0.153775,-0.001549,0.000092,-0.001776,1.257741,1.954431
115,DEPTH,-0.001499,0.681457,-4.108869,0.953604,0.134131,-0.002057,0.000316,-0.004245,1.349067,1.919540
116,IMU,-0.001540,0.694991,-4.089598,0.990252,0.139270,-0.002036,0.000361,-0.003949,1.357763,1.934640
117,IMU,-0.001580,0.708612,-4.070174,0.990247,0.139306,-0.002041,0.000365,-0.004086,1.366542,1.950138
118,IMU,-0.001622,0.722323,-4.050598,0.990243,0.139336,-0.002089,0.000326,-0.004276,1.375560,1.965006
119,DEPTH,-0.000036,0.684244,-4.042175,1.021374,0.156903,-0.001462,0.000080,-0.001219,1.291871,1.996657
120,IMU,-0.000043,0.697201,-4.022131,0.988396,0.151890,-0.001369,0.000144,-0.000097,1.299392,2.012216
121,IMU,-0.000044,0.710234,-4.001932,0.988393,0.151911,-0.001293,0.000179,-0.000205,1.307287,2.027519
122,IMU,-0.000047,0.723349,-3.981582,0.988392,0.151917,-0.001302,0.000178,-0.000433,1.315690,2.042591
123,DEPTH,-0.004349,0.822003,-4.002895,0.912766,0.109248,-0.002881,0.000831,-0.008427,1.523859,1.964810
124,IMU,-0.004437,0.837291,-3.983175,0.992912,0.118805,-0.003028,0.000966,-0.009215,1.533652,1.979317
125,IMU,-0.004524,0.852673,-3.963309,0.992909,0.118835,-0.002990,0.001008,-0.008120,1.542766,1.993854
126,IMU,-0.004606,0.868141,-3.943304,0.992908,0.118843,-0.002927,0.001062,-0.008280,1.550867,2.007137
127,DEPTH,-0.009376,0.969306,-3.964638,0.920800,0.077680,-0.004568,0.001753,-0.016821,1.755471,1.931578
128,IMU,-0.009544,0.986905,-3.945259,0.996445,0.084078,-0.005024,0.001912,-0.016923,1.764467,1.944109
129,IMU,-0.009714,1.004598,-3.925753,0.996444,0.084080,-0.005056,0.001877,-0.017037,1.773935,1.957235
130,IMU,-0.009886,1.022386,-3.906117,0.996443,0.084093,-0.005107,0.001980,-0.017356,1.783713,1.969927
131,DEPTH,-0.013205,1.089376,-3.919863,0.952882,0.058334,-0.006142,0.002476,-0.023067,1.913400,1.922658
132,IMU,-0.013437,1.108561,-3.900570,0.998109,0.061075,-0.006501,0.002584,-0.023340,1.923459,1.936070
133,IMU,-0.013667,1.127842,-3.881148,0.998110,0.061046,-0.006550,0.002549,-0.022728,1.932763,1.948200
134,IMU,-0.013894,1.147211,-3.861605,0.998106,0.061107,-0.006615,0.002629,-0.022537,1.941144,1.960375
135,DEPTH,-0.013290,1.136238,-3.859426,1.004415,0.065115,-0.006445,0.002535,-0.021535,1.920803,1.967651
136,IMU,-0.013506,1.155489,-3.839690,0.997884,0.064646,-0.006444,0.002578,-0.021659,1.929298,1.979581
137,IMU,-0.013718,1.174828,-3.819834,0.997885,0.064631,-0.006437,0.002570,-0.020705,1.938604,1.991649
138,IMU,-0.013929,1.194254,-3.799858,0.997877,0.064755,-0.006440,0.002613,-0.021464,1.946530,2.003519
139,DEPTH,-0.014281,1.201018,-3.801152,0.994554,0.062396,-0.006521,0.002679,-0.022024,1.958546,1.999320
140,IMU,-0.014499,1.220648,-3.781102,0.998011,0.062640,-0.006589,0.002687,-0.021743,1.967485,2.010607
141,IMU,-0.014716,1.240368,-3.760942,0.998014,0.062587,-0.006602,0.002655,-0.021675,1.976440,2.021522
142,IMU,-0.014939,1.260174,-3.740670,0.998018,0.062526,-0.006577,0.002733,-0.022875,1.984748,2.032816
143,DEPTH,-0.012833,1.219213,-3.733156,1.014529,0.076222,-0.006188,0.002274,-0.019657,1.914993,2.056596
144,IMU,-0.013031,1.238405,-3.712532,0.997169,0.074918,-0.006065,0.002296,-0.020053,1.923407,2.068265
145,IMU,-0.013236,1.257675,-3.691791,0.997166,0.074956,-0.006084,0.002165,-0.020827,1.930774,2.079801
146,IMU,-0.013445,1.277021,-3.670934,0.997167,0.074949,-0.006082,0.002118,-0.020968,1.938432,2.091645
147,DEPTH,-0.016428,1.317634,-3.678061,0.984383,0.061879,-0.006680,0.002660,-0.025440,2.004899,2.069644
148,IMU,-0.016684,1.337723,-3.657308,0.998006,0.062705,-0.006683,0.002736,-0.025757,2.012951,2.081110
149,IMU,-0.016938,1.357895,-3.636444,0.998004,0.062727,-0.006723,0.002834,-0.025172,2.021350,2.091643
150,IMU,-0.017193,1.378147,-3.615473,0.998000,0.062786,-0.006690,0.002887,-0.025696,2.029022,2.102629
151,DEPTH,-0.022176,1.427408,-3.623731,0.986707,0.047483,-0.007730,0.003646,-0.033001,2.106545,2.077705
152,IMU,-0.022506,1.448522,-3.602903,0.998804,0.048111,-0.007823,0.003705,-0.033004,2.116135,2.087905
153,IMU,-0.022840,1.469719,-3.581968,0.998807,0.048056,-0.007833,0.003690,-0.033749,2.123411,2.099160
154,IMU,-0.023179,1.490999,-3.560924,0.998805,0.048092,-0.007803,0.003751,-0.034112,2.132457,2.109703
155,DEPTH,-0.023183,1.491022,-3.560927,0.998802,0.048085,-0.007804,0.003751,-0.034117,2.132492,2.109692
156,IMU,-0.023525,1.512388,-3.539775,0.998806,0.048097,-0.007675,0.003786,-0.034350,2.140744,2.120667
157,IMU,-0.023872,1.533836,-3.518521,0.998807,0.048067,-0.007650,0.003870,-0.035167,2.148769,2.130242
158,IMU,-0.024225,1.555361,-3.497168,0.998808,0.048061,-0.007627,0.003827,-0.035355,2.156353,2.140441
159,DEPTH,-0.029665,1.585800,-3.501797,0.996869,0.039173,-0.008798,0.004435,-0.042952,2.200786,2.126947
160,IMU,-0.030099,1.607844,-3.480484,0.999177,0.039326,-0.008851,0.004573,-0.043865,2.208075,2.135771
161,IMU,-0.030537,1.629966,-3.459076,0.999177,0.039299,-0.008892,0.004571,-0.043597,2.216376,2.145748
162,IMU,-0.030977,1.652169,-3.437573,0.999181,0.039206,-0.008896,0.004564,-0.044387,2.224254,2.154817
163,DEPTH,-0.015031,1.584382,-3.427764,0.998271,0.058463,-0.005439,0.003042,-0.022683,2.128849,2.182990
164,IMU,-0.015261,1.605707,-3.405884,0.998265,0.058557,-0.005360,0.003022,-0.023302,2.136112,2.193144
165,IMU,-0.015499,1.627106,-3.383906,0.998268,0.058499,-0.005503,0.003012,-0.024237,2.143842,2.202429
166,IMU,-0.015741,1.648583,-3.361831,0.998268,0.058494,-0.005511,0.002968,-0.024224,2.151524,2.212534
167,DEPTH,-0.034471,1.709987,-3.370289,1.003488,0.041497,-0.009579,0.004497,-0.049086,2.235042,2.188553
168,IMU,-0.034963,1.732374,-3.348365,0.999089,0.041359,-0.009500,0.004465,-0.049311,2.242363,2.196419
169,IMU,-0.035456,1.754832,-3.326354,0.999088,0.041357,-0.009583,0.004520,-0.049395,2.249187,2.205599
170,IMU,-0.035950,1.777363,-3.304253,0.999089,0.041339,-0.009624,0.004523,-0.049420,2.256964,2.214644
171,DEPTH,-0.060854,1.844098,-3.313018,1.009122,0.023316,-0.014953,0.006334,-0.081613,2.344715,2.190094
172,IMU,-0.061667,1.867584,-3.291076,0.999605,0.023087,-0.014743,0.006243,-0.080919,2.352435,2.198326
173,IMU,-0.062478,1.891146,-3.269054,0.999604,0.023132,-0.014746,0.006235,-0.081324,2.359932,2.205998
174,IMU,-0.063296,1.914785,-3.246954,0.999603,0.023225,-0.014691,0.006215,-0.082332,2.367933,2.214053
175,DEPTH,-0.034529,1.847322,-3.238498,0.985366,0.041020,-0.008738,0.004238,-0.046130,2.282108,2.237563
176,IMU,-0.034992,1.870178,-3.216082,0.999086,0.041613,-0.008754,0.004248,-0.046479,2.289108,2.245635
177,IMU,-0.035458,1.893107,-3.193580,0.999081,0.041742,-0.008725,0.004267,-0.046782,2.296614,2.254759
178,IMU,-0.035930,1.916110,-3.170987,0.999081,0.041737,-0.008830,0.004232,-0.047493,2.304101,2.263863
179,DEPTH,-0.007666,1.858400,-3.164072,0.983684,0.056619,-0.003152,0.002411,-0.012822,2.232912,2.282946
180,IMU,-0.007795,1.880761,-3.141202,0.998335,0.057543,-0.003219,0.002507,-0.013076,2.239442,2.290977
181,IMU,-0.007926,1.903186,-3.118248,0.998336,0.057520,-0.003210,0.002521,-0.012992,2.245378,2.299960
182,IMU,-0.008051,1.925670,-3.095208,0.998335,0.057545,-0.003202,0.002539,-0.012109,2.251437,2.307949
183,DEPTH,-0.007322,1.924347,-3.095056,0.997917,0.057879,-0.003059,0.002495,-0.011237,2.249854,2.308363
184,IMU,-0.007435,1.946875,-3.071928,0.998314,0.057896,-0.003171,0.002532,-0.011389,2.255741,2.317157
185,IMU,-0.007548,1.969464,-3.048714,0.998312,0.057927,-0.003221,0.002584,-0.011227,2.261931,2.325725
186,IMU,-0.007661,1.992113,-3.025414,0.998317,0.057846,-0.003271,0.002527,-0.011327,2.268031,2.334233
187,DEPTH,0.007231,1.966859,-3.022620,0.989269,0.064079,-0.000465,0.001657,0.006038,2.238638,2.341742
188,IMU,0.007291,1.989278,-2.999161,0.997907,0.064648,-0.000410,0.001539,0.006129,2.245225,2.350164
189,IMU,0.007355,2.011764,-2.975615,0.997902,0.064729,-0.000373,0.001546,0.006561,2.251999,2.358967
190,IMU,0.007422,2.034313,-2.951981,0.997904,0.064698,-0.000361,0.001509,0.006788,2.257912,2.367797
191,DEPTH,-0.063908,2.150737,-2.964422,1.043884,0.036592,-0.013325,0.005550,-0.074405,2.389804,2.334768
192,IMU,-0.064657,2.174668,-2.941036,0.999293,0.034956,-0.012771,0.005273,-0.075450,2.396525,2.342404
193,IMU,-0.065413,2.198664,-2.917575,0.999295,0.034916,-0.012717,0.005276,-0.075589,2.402499,2.349694
194,IMU,-0.066169,2.222721,-2.894045,0.999293,0.034961,-0.012741,0.005283,-0.075693,2.409069,2.356342
195,DEPTH,-0.018368,2.147555,-2.886266,0.967168,0.052725,-0.004346,0.002664,-0.022590,2.326203,2.376843
196,IMU,-0.018597,2.170846,-2.862460,0.998504,0.054422,-0.004519,0.002757,-0.023199,2.332087,2.384415
197,IMU,-0.018829,2.194198,-2.838577,0.998506,0.054392,-0.004498,0.002701,-0.023216,2.338394,2.392131
198,IMU,-0.019061,2.217612,-2.814621,0.998502,0.054455,-0.004544,0.002747,-0.023297,2.344333,2.399061
199,DEPTH,-0.026911,2.229422,-2.815808,1.003890,0.051722,-0.005879,0.003162,-0.031810,2.357014,2.395968
200,IMU,-0.027226,2.253020,-2.791811,0.998653,0.051465,-0.005858,0.003186,-0.031272,2.362659,2.403439
201,IMU,-0.027542,2.276675,-2.767743,0.998653,0.051454,-0.005875,0.003224,-0.031958,2.368220,2.410124
202,IMU,-0.027860,2.300389,-2.743609,0.998654,0.051424,-0.005877,0.003237,-0.031630,2.374763,2.416777
203,DEPTH,-0.090108,2.391311,-2.752507,1.042425,0.030814,-0.016123,0.006433,-0.097563,2.469918,2.393862
204,IMU,-0.091086,2.416040,-2.728535,0.999426,0.029529,-0.015379,0.006198,-0.097967,2.475757,2.400558
205,IMU,-0.092066,2.440823,-2.704498,0.999428,0.029468,-0.015374,0.006284,-0.098046,2.480862,2.406741
206,IMU,-0.093049,2.465660,-2.680398,0.999432,0.029369,-0.015336,0.006230,-0.098674,2.486576,2.413211
207,DEPTH,-0.102849,2.479572,-2.681727,1.006442,0.026278,-0.016895,0.006720,-0.108816,2.500777,2.409822
208,IMU,-0.103942,2.504610,-2.657597,0.999499,0.026091,-0.016644,0.006602,-0.109797,2.506792,2.416193
209,IMU,-0.105041,2.529706,-2.633401,0.999500,0.026073,-0.016626,0.006601,-0.110052,2.512324,2.423064
210,IMU,-0.106145,2.554861,-2.609143,0.999497,0.026229,-0.016572,0.006616,-0.110705,2.518720,2.428513
211,DEPTH,-0.130620,2.587722,-2.612213,1.016730,0.019071,-0.020354,0.007792,-0.135468,2.551453,2.420732
212,IMU,-0.131978,2.613265,-2.587972,0.999591,0.018780,-0.020158,0.007691,-0.136019,2.557017,2.427654
213,IMU,-0.133339,2.638861,-2.563667,0.999592,0.018747,-0.020116,0.007739,-0.136223,2.562191,2.433241
214,IMU,-0.134702,2.664513,-2.539302,0.999593,0.018764,-0.020062,0.007739,-0.136310,2.568352,2.439858
215,DEPTH,-0.201713,2.748346,-2.546980,1.045132,0.000852,-0.030140,0.010834,-0.202637,2.649945,2.420554
216,IMU,-0.203747,2.774874,-2.522745,0.999531,0.000772,-0.028792,0.010407,-0.204199,2.655755,2.426442
217,IMU,-0.205792,2.801455,-2.498450,0.999531,0.000710,-0.028790,0.010419,-0.204894,2.660427,2.432645
218,IMU,-0.207844,2.828086,-2.474092,0.999531,0.000660,-0.028767,0.010443,-0.205352,2.665811,2.438898
219,DEPTH,-0.160163,2.773736,-2.469202,0.969057,0.012064,-0.021770,0.008344,-0.159159,2.614086,2.451131
220,IMU,-0.161758,2.799902,-2.444660,0.999635,0.012403,-0.022401,0.008607,-0.159802,2.619277,2.457135
221,IMU,-0.163359,2.826119,-2.420062,0.999636,0.012379,-0.022358,0.008620,-0.160408,2.624003,2.462597
222,IMU,-0.164967,2.852379,-2.395407,0.999636,0.012448,-0.022312,0.008670,-0.161154,2.628121,2.468321
223,DEPTH,-0.110038,2.796115,-2.390422,0.967186,0.024042,-0.014435,0.006375,-0.109094,2.575769,2.480666
224,IMU,-0.111131,2.821897,-2.365586,0.999557,0.024879,-0.014987,0.006472,-0.109515,2.580696,2.486550
225,IMU,-0.112227,2.847730,-2.340689,0.999559,0.024822,-0.014936,0.006469,-0.109731,2.585912,2.492733
226,IMU,-0.113329,2.873618,-2.315736,0.999556,0.024903,-0.014981,0.006501,-0.110514,2.591541,2.497960
227,DEPTH,-0.176051,2.931245,-2.320777,1.033616,0.013242,-0.023791,0.008980,-0.168699,2.643995,2.485582
228,IMU,-0.177742,2.957710,-2.295895,0.999616,0.012676,-0.023020,0.008802,-0.169427,2.649016,2.490713
229,IMU,-0.179436,2.984227,-2.270958,0.999615,0.012697,-0.023020,0.008836,-0.169370,2.654466,2.496686
230,IMU,-0.181136,3.010797,-2.245964,0.999616,0.012706,-0.023007,0.008825,-0.170585,2.659576,2.502206
